                                mean         std        2.5q        25q        50q        75q       97.5q       mc err
t_subj.62                    3.10489    0.131658      2.7939    3.02719    3.12391    3.20063     3.31022   0.00157041
t_subj.63                    2.21781    0.142087     1.89092    2.13547    2.23479    2.32022     2.44484   0.00166972
t_subj.64                    1.27095    0.116728      1.0015    1.20295     1.2843    1.35354     1.45839   0.00134826
t_subj.65                    1.16097   0.0679198     1.00768    1.12063    1.17007    1.21026     1.26761  0.000849859
t_subj.66                    1.25265   0.0356842     1.16944    1.23257    1.25716    1.27863     1.30789  0.000448778
t_subj.67                    1.71478    0.107992     1.47064     1.6513    1.72664    1.79152      1.8913   0.00153576
t_subj.68                   0.634916    0.160086    0.272184   0.538091   0.651656    0.74935    0.901937   0.00184094
t_subj.69                    3.06687    0.178035     2.65805    2.96278    3.08807    3.19507     3.35005   0.00222948
t_subj.70                   0.789158    0.248512    0.235295   0.633852   0.809778   0.969593     1.21368   0.00356063
t_subj.71                   0.981502    0.109154     0.73271   0.916491   0.993111    1.05899     1.16305   0.00148381
t_subj.72                    2.33395    0.181464     1.91018    2.23127    2.35937    2.46403     2.61786   0.00204001
t_subj.73                    1.63963    0.182311     1.22396    1.53335    1.66465    1.77167     1.92497   0.00212025
t_subj.74                    2.65372    0.249882     2.08322    2.50643    2.68562    2.83484     3.05283   0.00314469
t_subj.75                    1.42897    0.236699    0.886331    1.28727    1.45824    1.59979     1.81071   0.00291234
t_subj.76                     1.7702    0.158398     1.40423    1.67634     1.7881    1.88344     2.02502   0.00212041
t_subj.78                     1.2982   0.0563496     1.16956     1.2656    1.30585    1.33876     1.38679   0.00060338
t_subj.79                    0.35491   0.0622884    0.214054   0.317312   0.362084    0.39973    0.455332   0.00063165
t_subj.80                    1.05737    0.244631    0.514045    0.90682    1.08484    1.23379     1.46093   0.00286014
t_subj.81                    2.38843    0.300193     1.69905    2.21059    2.41969    2.60223     2.87977    0.0034106
t_subj.82                    1.42505    0.377976     0.60538    1.18754    1.45527     1.6964     2.07375   0.00441459
t_subj.83                   0.705992    0.240011    0.192234   0.548366   0.724449   0.880253     1.12681    0.0031733
t_subj.84                    2.73209    0.197852     2.27055    2.61796     2.7565    2.87371     3.04557   0.00252033
t_subj.85                     1.4172    0.109622     1.16729    1.35419    1.42909    1.49546     1.59071   0.00139841
t_subj.86                   0.817675   0.0947977     0.60085   0.761188   0.828674   0.885789    0.971754   0.00111053
t_subj.88                   0.987893   0.0801704    0.798952   0.942818   0.999624    1.04563     1.10967  0.000967836
t_subj.89                    1.81515     0.16119     1.45535    1.72026    1.83527    1.93062     2.07212   0.00190201
t_subj.90                    0.72997    0.056278    0.599074   0.697735   0.737967   0.770539    0.817729  0.000530412
t_subj.91                    5.88691    0.379828     5.00624    5.67008    5.93872    6.16124     6.47242   0.00555904
t_subj.92                    2.14339    0.235961     1.61332    2.00446    2.16686    2.31253     2.52914   0.00282979
t_subj.93                    2.20467    0.150529     1.85594    2.11977    2.22502    2.31447     2.43828   0.00177293
t_subj.94                    1.05561    0.132433    0.748222   0.980749    1.07326    1.15032     1.26188   0.00129209
t_subj.95                   0.722503    0.122889     0.44193   0.650017   0.736312   0.811046    0.921651   0.00135796
t_subj.96                    1.18116    0.169769    0.796172    1.08067    1.19923    1.30394      1.4572   0.00191848
t_subj.97                    5.00878     0.28654     4.36126     4.8356    5.04395    5.21464     5.47238   0.00374915
t_subj.98                    2.03739    0.125429     1.75047    1.96409    2.05306    2.12803     2.23489   0.00143128
t_subj.99                   0.972018    0.103357     0.73862   0.911649   0.984444    1.04689     1.13819   0.00126325
t_subj.100                   1.20913    0.069048     1.04993    1.16984    1.21857     1.2588     1.31626  0.000728313
sz                         0.0705929   0.0464356  0.00311757  0.0321915   0.065083   0.103276    0.170227  0.000708401
z                           0.525133  0.00582098    0.513815   0.521212   0.525124    0.52902    0.536577  0.000109522
z_std                        0.14557    0.022358    0.103611   0.130623   0.144789   0.160243    0.191065   0.00056415
z_subj.2                    0.498781   0.0255905    0.447405   0.481923   0.499196   0.516268    0.548165  0.000271294
z_subj.3                     0.54061   0.0256163    0.491406   0.523235   0.540287   0.557906    0.590921  0.000255355
z_subj.4                    0.522663   0.0247243    0.473389   0.506134   0.523106   0.539111    0.570675  0.000262529
z_subj.6                    0.562242   0.0261518    0.511345   0.544438   0.562013     0.5799    0.613698  0.000348428
z_subj.7                    0.524077   0.0242403    0.475996   0.507878   0.524204   0.540048    0.572152  0.000223075
z_subj.8                     0.53647   0.0248708    0.487563   0.519687   0.536415   0.553577    0.585344  0.000246366
z_subj.9                    0.546481   0.0264815    0.494834   0.528714   0.546436    0.56392    0.598564  0.000289464
z_subj.11                   0.587364   0.0279298    0.533825   0.568405   0.587247   0.605909    0.643061  0.000454878
z_subj.12                   0.493191   0.0262045     0.44097   0.475715   0.493447   0.511053     0.54385  0.000270133
z_subj.13                   0.513755    0.026937    0.460561   0.495729   0.513876    0.53185    0.566904  0.000259424
z_subj.14                   0.553685   0.0256674    0.503298   0.536702   0.553625    0.57092    0.603723  0.000294498
z_subj.15                   0.573066   0.0268771    0.521704   0.554438   0.572654   0.591088    0.626576   0.00035302
z_subj.16                   0.536163   0.0258836    0.485613   0.518691   0.536097   0.553499    0.586829  0.000245093
z_subj.17                   0.526353   0.0248003    0.478795   0.509582   0.526193   0.542972    0.575251  0.000244589
z_subj.18                   0.592307   0.0288213    0.536945    0.57262   0.591811   0.611433    0.649165  0.000470315
z_subj.19                   0.548587   0.0254619    0.498739   0.531208   0.548669   0.565562    0.598711  0.000291117
