                                  mean         std        2.5q        25q        50q        75q      97.5q       mc err
t_subj.69                      3.05908    0.181027      2.6316    2.95499    3.08371    3.18799    3.34398   0.00216706
t_subj.70                     0.779779    0.248844    0.244892   0.617976   0.802042   0.959634    1.20885   0.00297044
t_subj.71                     0.975453    0.110067    0.727116   0.910298   0.986912    1.05402    1.15808   0.00141854
t_subj.72                      2.34421    0.175414     1.92971    2.24427    2.36841    2.46951    2.61476   0.00202281
t_subj.73                      1.63864    0.179787     1.21885    1.53886    1.66246    1.76536    1.92075   0.00195206
t_subj.74                      2.64465    0.255017     2.07125    2.49092    2.67796    2.82591    3.05781   0.00315908
t_subj.75                      1.42244    0.237763    0.889063    1.28158    1.45141    1.59391    1.80466   0.00256354
t_subj.76                        1.772    0.156193     1.41898    1.67828    1.79005    1.88423    2.02495   0.00199518
t_subj.78                      1.29772   0.0562778     1.16806    1.26569    1.30505    1.33789    1.38539  0.000578836
t_subj.79                     0.355687   0.0618764    0.216795   0.319986   0.362624   0.399439   0.456311  0.000743062
t_subj.80                      1.05011    0.246436    0.494094   0.903182     1.0765    1.22777    1.45337    0.0029419
t_subj.81                      2.41902    0.302075     1.72358    2.24307    2.44986    2.63391    2.91148    0.0034312
t_subj.82                      1.45606    0.379639    0.617805    1.21815    1.48859    1.72607    2.09986   0.00486379
t_subj.83                     0.699771    0.243595    0.175996    0.53821   0.717379   0.877672    1.12563    0.0029406
t_subj.84                       2.7213    0.202942     2.25951    2.60217    2.74671    2.86808     3.0412   0.00254971
t_subj.85                      1.41374    0.109306      1.1633    1.35092    1.42678    1.49096    1.59137   0.00125711
t_subj.86                     0.813341    0.096599    0.593677   0.756073   0.824478   0.882971   0.967098   0.00122079
t_subj.88                      0.98701   0.0808644      0.7912   0.943304   0.998965    1.04482    1.11078   0.00103517
t_subj.89                      1.81946    0.157414     1.46061    1.72667    1.84018    1.93301    2.06681   0.00188321
t_subj.90                     0.734207   0.0555238    0.602163   0.703138   0.742021   0.773792   0.820455  0.000633733
t_subj.91                      5.90171    0.374707     5.04227    5.68195    5.95373    6.17367    6.48902   0.00498639
t_subj.92                      2.16589    0.238171     1.61715    2.02727    2.19415    2.33538    2.54543   0.00301948
t_subj.93                      2.20184    0.152585     1.84785    2.11406    2.22204    2.31126    2.43962   0.00193555
t_subj.94                      1.06783    0.132766    0.754763   0.992723    1.08473    1.16434    1.27201   0.00170871
t_subj.95                     0.721602     0.12081     0.44389   0.649317   0.734971   0.807851   0.917169   0.00146835
t_subj.96                      1.17166      0.1703    0.794396     1.0711    1.19074    1.29274    1.45069   0.00159928
t_subj.97                      5.00274    0.291736     4.33157    4.83869    5.03885    5.20907    5.46845   0.00376233
