                                 mean        std        2.5q        25q        50q        75q       97.5q       mc err
v_C(whichWorld)[0]_subj.19  -0.209154  0.0677011   -0.337594  -0.249865  -0.214817  -0.172705  -0.0552684    0.0010091
v_C(whichWorld)[0]_subj.20  -0.249428  0.0521989    -0.35897  -0.281273  -0.246905  -0.214889   -0.151198  0.000907087
v_C(whichWorld)[0]_subj.21  -0.270675  0.0578863   -0.397254  -0.305769  -0.265191  -0.230588   -0.169525    0.0015722
v_C(whichWorld)[0]_subj.22  -0.278255  0.0705748   -0.436972  -0.318974  -0.269193  -0.229331    -0.16184   0.00202965
v_C(whichWorld)[0]_subj.23  -0.254278  0.0575844   -0.379967  -0.288661  -0.249084  -0.217197   -0.147944   0.00113327
v_C(whichWorld)[0]_subj.24   -0.22532  0.0561952   -0.337962  -0.259676  -0.226548  -0.192481   -0.106685  0.000717551
v_C(whichWorld)[0]_subj.25  -0.276958  0.0540719   -0.393746  -0.311631  -0.272263   -0.23777   -0.185642   0.00165739
v_C(whichWorld)[0]_subj.26  -0.214275  0.0702803   -0.347863  -0.255927  -0.218519  -0.175713   -0.060435   0.00100159
v_C(whichWorld)[0]_subj.27   -0.23446  0.0613721   -0.361061  -0.270194  -0.233089  -0.199149   -0.109171  0.000762036
v_C(whichWorld)[0]_subj.28  -0.162069  0.0611546   -0.263617  -0.206834  -0.168532  -0.123091  -0.0277274   0.00210425
v_C(whichWorld)[0]_subj.29  -0.232485  0.0731786   -0.384224  -0.272921  -0.231201  -0.192505  -0.0804356  0.000805486
v_C(whichWorld)[0]_subj.30  -0.217425  0.0656611   -0.345669  -0.256187  -0.220224  -0.180854    -0.07627  0.000848501
v_C(whichWorld)[0]_subj.31  -0.265535  0.0576334   -0.390651  -0.300646  -0.260323  -0.226385    -0.16292   0.00145004
v_C(whichWorld)[0]_subj.32  -0.253544  0.0670515   -0.406222  -0.291414  -0.247434  -0.211474   -0.128997   0.00127281
v_C(whichWorld)[0]_subj.33  -0.256369  0.0693932    -0.41172  -0.295081   -0.24933  -0.212405   -0.129449   0.00136635
v_C(whichWorld)[0]_subj.34  -0.206632  0.0679083   -0.333408  -0.248246  -0.212414  -0.169818  -0.0537546   0.00107861
v_C(whichWorld)[0]_subj.35  -0.242709  0.0631408   -0.375916  -0.279806  -0.239294  -0.203976   -0.117608  0.000917212
v_C(whichWorld)[0]_subj.36   -0.20374  0.0511558   -0.300388  -0.236787  -0.206795  -0.172277  -0.0951048  0.000914054
v_C(whichWorld)[0]_subj.37  -0.217873  0.0585998   -0.332059   -0.25348  -0.219823  -0.183438  -0.0952093   0.00068499
v_C(whichWorld)[0]_subj.38  -0.176157  0.0682045   -0.288954  -0.223855  -0.185796  -0.136137  -0.0205922   0.00180526
v_C(whichWorld)[0]_subj.39   -0.21015  0.0645709   -0.334181  -0.249408  -0.214264  -0.173548  -0.0682012   0.00101069
v_C(whichWorld)[0]_subj.40  -0.199298  0.0737389   -0.331182  -0.243929  -0.207323  -0.160424  -0.0299415   0.00136285
v_C(whichWorld)[0]_subj.41  -0.277962   0.066641   -0.427137  -0.318129  -0.269752  -0.231775   -0.166457   0.00184047
v_C(whichWorld)[0]_subj.42  -0.231258  0.0717966   -0.379669   -0.27094  -0.230825  -0.191209  -0.0824874  0.000848317
v_C(whichWorld)[0]_subj.43  -0.273128  0.0684754   -0.427464  -0.313423  -0.263842  -0.226873    -0.15658   0.00179502
v_C(whichWorld)[0]_subj.44  -0.147124  0.0916112   -0.279465  -0.212659  -0.165464 -0.0978563   0.0780276   0.00325135
v_C(whichWorld)[0]_subj.45  -0.237227  0.0637927   -0.373961  -0.274801  -0.234826  -0.198925    -0.11127  0.000848054
v_C(whichWorld)[0]_subj.46  -0.249158  0.0622614   -0.384712  -0.285332  -0.244148  -0.209703   -0.132796   0.00106125
v_C(whichWorld)[0]_subj.47  -0.223132  0.0544931   -0.330739   -0.25702  -0.224515  -0.190562   -0.109021  0.000694539
v_C(whichWorld)[0]_subj.48  -0.210072   0.058611   -0.321026  -0.246782  -0.214215   -0.17606   -0.083385   0.00099116
v_C(whichWorld)[0]_subj.49  -0.228943   0.058869    -0.34885  -0.264419  -0.228987  -0.193917   -0.109746  0.000752989
v_C(whichWorld)[1]           0.292472  0.0273686    0.239908   0.274123   0.292075   0.310418    0.347364  0.000437817
v_C(whichWorld)[1]_std         0.1258  0.0287247   0.0733854   0.106162   0.124272   0.143476    0.187216  0.000759551
v_C(whichWorld)[1]_subj.1    0.290214   0.101529   0.0886384   0.224043    0.28948   0.357556     0.49084  0.000866131
v_C(whichWorld)[1]_subj.2    0.245948  0.0913591   0.0631823   0.185994    0.24727   0.306509    0.421753  0.000862918
v_C(whichWorld)[1]_subj.3    0.433254   0.108624    0.236167   0.357197   0.428074   0.503069     0.66119   0.00152517
v_C(whichWorld)[1]_subj.4    0.364412  0.0933772    0.187268   0.300247   0.362637   0.425027    0.555912   0.00106898
v_C(whichWorld)[1]_subj.5    0.257342  0.0836095   0.0935725   0.201947   0.257593   0.313438     0.42175  0.000770348
